MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
1519407,2015,Eastfork Surface Mine,Kentucky (West),Ohio,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Armstrong Coal Company, Inc.","407 Brown Road, Madisonville, KY 42431",,Illinois Basin,20727,18,23856,9.93919247716
1519511,2015,Lewis Creek,Kentucky (West),Ohio,Active,Surface,Independent Producer Operator,Mine only,"Armstrong Coal Co., Inc.","407 Brown Road, Madisonville, KY 42431",,Illinois Basin,817127,70,130653,13.6135498085
1519535,2015,Kronos Mine,Kentucky (West),Ohio,Active,Underground,Independent Producer Operator,Mine only,"Armstrong Coal Company, Inc.","Mantanzas Road, Centertown, KY 42323",,Illinois Basin,2440475,253,622066,14.7077032505
1519669,2015,Lewis Creek Underground Mine,Kentucky (West),Ohio,Permanently abandoned,Underground,Independent Producer Operator,Mine only,"Armstrong Coal Company, Inc.","407 Brown Road, Madisonville, KY 42431",,Illinois Basin,99250,31,33339,11.5053971985
1519683,2015,P.Ridge Mine-South Pit,Kentucky (West),Ohio,Active,Surface,Independent Producer Operator,Mine only,"Western Kentucky Minerals, Inc","P.O. Box 155, Philpot, KY 42366",,Illinois Basin,139325,18,51603,11.8445646124
1503627,2015,#20 Strip Job,Kentucky (East),Perry,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,505813,46,115059,13.1339223147
1509636,2015,No. 77,Kentucky (East),Perry,Active,Underground,Independent Producer Operator,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,253601,53,111391,12.4435174448
1516883,2015,Combs Branch Job,Kentucky (East),Perry,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,999150,82,193839,13.8146601965
1517478,2015,No. 75,Kentucky (East),Perry,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,137022,33,78136,11.8278967759
1518048,2015,Rowdy Gap Mine,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,497414,50,111216,13.1171779563
1518526,2015,Jakes Branch Job,Kentucky (East),Perry,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"3228 Summit Square Place, Suit, Lexington, KY 40509",,Appalachia Central,12100,5,3857,9.40096073158
1518565,2015,E4-1,Kentucky (East),Perry,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Perry County Coal, Llc","1845 South Ky Hwy 15, Hazard, KY 41701",,Appalachia Central,366625,87,194904,12.8120948063
1518769,2015,S-17 Cumberland,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc.","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,677748,38,126332,13.4265308164
1518777,2015,Hazard Job #6,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,B & W Resources Inc,"300 Liperote Way, London, KY 40741",,Appalachia Central,197933,17,40341,12.1956838686
1518781,2015,Chavies Job #7,Kentucky (East),Perry,Temporarily closed,Surface,Independent Producer Operator,Mine only,B & W Resources Inc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,50643,9,19196,10.8325562968
1518966,2015,East Mac & Nellie,Kentucky (East),Perry,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,1087329,98,272182,13.8992347882
1519015,2015,E4-2,Kentucky (East),Perry,Active,Underground,Independent Producer Operator,Mine only,"Perry County Coal, Llc","1845 S Ky Hwy 15, Hazard, KY 41701",,Appalachia Central,667362,130,300966,13.4110879063
1519255,2015,Montgomery Creek,Kentucky (East),Perry,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Blue Diamond Mining, Llc","1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,69177,16,26013,11.1444237164
1519405,2015,Orchard Branch Mine No. 89,Kentucky (East),Perry,Active,Underground,Independent Producer Operator,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,119962,35,52935,11.6949303049
1519419,2015,Noble Mine #2,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,Noble Construction,"P.O. Box 83, Bulan, KY 41722",,Appalachia Central,16163,5,9120,9.69047995841
1519504,2015,Newberry #15,Kentucky (East),Perry,Permanently abandoned,Surface,Independent Producer Operator,Mine only,B&w Resources Inc.,"300 Liperote Way, London, KY 40741",,Appalachia Central,8514,12,11380,9.04946714639
1519598,2015,Poundmill Mine No 90,Kentucky (East),Perry,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,237318,43,95981,12.3771562929
1519728,2015,Gregory Branch Mine,Kentucky (East),Perry,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Locust Grove, Inc.","P.O. Box 958, Hazard, KY 41702",,Appalachia Central,328295,22,53233,12.7016678734
1519780,2015,Wiley Miller Mine,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,"Pine Branch Mining, Llc","1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,37414,13,15660,10.5298002449
1515215,2015,# 5,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"Bee B & B, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,124730,39,76286,11.7339066801
1517659,2015,Three Mile Mine #1,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Cam Mining Llc,"P.O. Box 1169, Pikeville, KY 41502",,Appalachia Central,251242,24,53182,12.4341718971
1517941,2015,No 2,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Mine only,Apex Energy Inc,"P.O. Box 2100, Elkhorn City, KY 41502",,Appalachia Central,281933,51,86066,12.549424733
1517979,2015,Mine No. 8,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"Woodman Three Mine, Inc.","2412 Feds Creek Road, Steele, KY 41566",,Appalachia Central,60641,12,31879,11.0127265109
1518001,2015,No 1,Kentucky (East),Pike,Temporarily closed,Underground,Independent Producer Operator,Mine only,Lost Ridge Mining Llc,"P.O. Box 431, Prestonsburg, KY 41653",,Appalachia Central,8565,8,6849,9.05543941076
1518040,2015,No. 6,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Mine only,Apex Energy Inc,"6320 Hwy 610 W, Myra, KY 41537",,Appalachia Central,409621,66,126398,12.9229876209
1518280,2015,S-1 Hunts Branch,Kentucky (East),Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Revelation Energy Llc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,318118,22,68051,12.6701776621
1518363,2015,Bevins Branch Surface Mine,Kentucky (East),Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Kentucky Fuel Corporation,"P.O. Box 1085, Beckley, WV 25802",,Appalachia Central,16223,25,34224,9.69418526741
1518381,2015,Taylor Fork Energy,Kentucky (East),Pike,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Sidney Coal Company Inc,"P.O. Box 299, Sidney, KY 41564",,Appalachia Central,1085,19,15484,6.98933526597
1518454,2015,Auger Mine No 29,Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,B & H Coal Co Inc,"P.O. Box 221, Jackson, KY 41339",,Appalachia Central,21627,3,4451,9.98169781307
1518626,2015,Mine # 5,Kentucky (East),Pike,Temporarily closed,Underground,Independent Producer Operator,Mine only,Inspiration Resources Inc.,"P.O. Box 431, Hardy, KY 41531",,Appalachia Central,2700,4,2608,7.90100705199
1518713,2015,No 009,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Mine only,C W Augering Inc,"24044 State Hwy 194 East, Fedscreek, KY 41524",,Appalachia Central,40526,16,19281,10.6096990224
1518721,2015,Mine #23,Kentucky (East),Pike,Temporarily closed,Underground,Independent Producer Operator,Mine only,Mccoy Elkhorn Coal Co.,"222 Kelsey Friend Drive, Pikeville, KY 41501",,Appalachia Central,352696,69,159261,12.7733617751
1518775,2015,Mine #15,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Mccoy Elkhorn Coal Co.,"2560 State Highway 194 East, Pikeville, KY 41501",,Appalachia Central,302693,81,181492,12.6204743695
1518911,2015,Mine #28,Kentucky (East),Pike,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Cam Mining Llc,"P.O. Box 1169, Pikeville, KY 41502",,Appalachia Central,133749,20,53706,11.8037201881
1518943,2015,Mine No 5,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Falcon Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,Appalachia Central,92823,16,38301,11.4384497329
